id	times_submit	time_finish	source	source_info	IP	sex	grade	residence	school	SNS1	SNS2	SNS3	SNS4	SNS5	SNS6	SES1	SES2	SES3	SES4	SES5	SES6	SES7	SES8	SES9	SES10	CSES1	CSES2	CSES3	CSES4	EIB1	EIB2	EIB3	EIB4	EIB5	EIB6	EIB7	EIB8	total	SES3_r	SES5_r	SES9_r	SES10_r
20	2021/3/23 12:58:02	127秒	微信	N/A	106.61.127.144(云南-昆明)	1	2	2	1	.801953698731894	1.03545386468209	.900486926789826	-1.18618974376277	-1.39318195613894	1.38024099038612	3	3	1	4	2	4	4	4	1	1	4	5	2	2	5	2	2	5	3	3	3	3	90	4	3	4	4
21	2021/3/23 13:05:55	226秒	微信	N/A	120.199.34.102(浙江-杭州)	2	2	1	2	.801953698731894	1.03545386468209	.900486926789826	1.23392373747556	1.28236066417334	1.38024099038612	3	3	3	3	2	3	3	2	2	2	5	5	5	5	4	4	4	4	4	4	4	4	108	2	3	3	3
22	2021/3/23 13:47:28	40秒	微信	N/A	112.10.1.77(浙江-杭州)	1	2	1	1	.801953698731894	1.03545386468209	.900486926789826	1.23392373747556	1.28236066417334	1.38024099038612	4	4	3	3	3	3	2	3	3	3	5	5	5	5	3	4	3	4	4	4	3	4	110	2	2	2	2
23	2021/3/23 18:10:24	94秒	微信	N/A	118.203.123.201(黑龙江-哈尔滨)	2	2	2	1	.801953698731894	1.03545386468209	.900486926789826	1.23392373747556	1.28236066417334	1.38024099038612	4	3	2	3	1	3	3	3	3	2	7	6	4	6	4	4	4	4	4	4	2	4	110	3	4	2	3
24	2021/3/23 21:38:56	105秒	微信	N/A	180.130.2.150(云南-昆明)	2	2	1	2	.801953698731894	.119266937293226	-1.814360676079	-1.18618974376277	-.501334416034844	-1.04254786867595	3	3	1	3	1	3	4	4	1	1	6	6	6	6	4	4	4	3	4	4	4	4	97	4	4	4	4
25	2021/3/24 8:20:57	71秒	微信	N/A	117.136.85.62(云南-昆明)	1	3	2	1	.801953698731894	.119266937293226	.900486926789826	1.23392373747556	1.28236066417334	1.38024099038612	4	4	1	4	1	4	4	1	1	1	6	6	7	6	5	4	4	5	5	5	4	5	116	4	4	4	4
26	2021/3/24 15:41:10	74秒	微信	N/A	36.23.117.221(浙江-绍兴)	2	2	1	2	.801953698731894	.119266937293226	-.00446227416645099	.427219243729449	.390513124069247	.572644704032094	3	3	2	3	2	3	3	2	2	2	5	5	5	5	4	4	4	3	4	4	4	4	101	3	3	3	3
27	2021/3/24 15:48:04	49秒	微信	N/A	36.19.230.162(浙江-杭州)	1	2	1	2	.801953698731894	1.03545386468209	-.00446227416645099	.427219243729449	1.28236066417334	1.38024099038612	3	3	2	3	3	3	2	3	2	3	4	4	4	4	3	3	3	3	4	4	4	3	98	3	2	3	2
28	2021/3/24 15:49:26	25秒	微信	N/A	124.160.212.48(浙江-绍兴)	2	1	2	1	-3.49490786276951	-2.62929384487338	-2.71930987703528	-1.99289423750888	-2.28502949624303	-1.85014415502998	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	28	4	4	4	4
29	2021/3/24 15:51:26	55秒	微信	N/A	36.18.52.128(浙江-杭州)	1	2	2	2	.801953698731894	1.03545386468209	.900486926789826	.427219243729449	-.501334416034844	.572644704032094	3	2	2	2	3	3	3	3	3	3	5	5	5	5	4	3	3	3	3	3	4	3	99	3	2	2	2
30	2021/3/24 16:05:21	86秒	微信	N/A	222.189.189.118(江苏-扬州)	2	3	2	1	-1.34647708201881	-2.62929384487338	-1.814360676079	-1.18618974376277	-1.39318195613894	-1.04254786867595	3	2	2	2	2	3	3	1	1	3	5	5	5	5	4	4	4	4	4	4	4	3	85	3	3	4	2
31	2021/3/24 16:06:25	82秒	微信	N/A	223.104.246.34(浙江-杭州)	2	4	2	1	.801953698731894	.119266937293226	-.00446227416645099	1.23392373747556	.390513124069247	1.38024099038612	3	3	2	3	3	2	3	3	3	3	3	3	4	5	3	3	3	4	2	3	3	4	95	3	2	2	2
32	2021/3/24 16:08:51	113秒	微信	N/A	117.136.53.159(湖北-武汉)	2	4	2	1	.801953698731894	1.03545386468209	.900486926789826	1.23392373747556	1.28236066417334	1.38024099038612	3	3	1	4	1	3	3	3	1	2	5	5	4	4	3	3	3	3	3	3	3	3	96	4	4	4	3
33	2021/3/24 16:11:13	62秒	微信	N/A	101.71.108.161(浙江-宁波)	2	2	2	1	-.272261691643456	.119266937293226	-.00446227416645099	.427219243729449	.390513124069247	.572644704032094	3	4	2	3	3	3	3	3	3	2	5	4	4	4	3	3	4	4	4	4	4	4	100	3	2	2	3
34	2021/3/24 16:16:15	133秒	微信	N/A	119.62.6.37(云南-昆明)	2	4	1	2	-.272261691643456	.119266937293226	-.00446227416645099	-1.18618974376277	-.501334416034844	-1.04254786867595	4	4	2	3	1	3	3	2	3	2	5	5	5	5	4	3	4	4	2	2	4	4	93	3	4	2	3
35	2021/3/24 16:17:57	124秒	微信	N/A	119.62.6.45(云南-昆明)	2	1	2	2	.801953698731894	1.03545386468209	-.00446227416645099	.427219243729449	-.501334416034844	-.23495158232193	3	3	3	2	3	3	2	3	3	3	5	5	5	5	4	4	3	4	2	3	2	3	97	2	2	2	2
36	2021/3/24 16:19:06	185秒	微信	N/A	61.158.208.39(河南-郑州)	2	4	1	2	.801953698731894	.119266937293226	-.00446227416645099	.427219243729449	-.501334416034844	-.23495158232193	3	3	2	3	2	3	3	2	2	2	4	5	5	5	4	4	4	4	3	4	3	3	96	3	3	3	3
37	2021/3/24 16:20:18	218秒	微信	N/A	119.62.6.36(云南-昆明)	1	1	2	2	-.272261691643456	-.796919990095643	-1.814360676079	-1.18618974376277	.390513124069247	-.23495158232193	3	3	2	3	2	3	3	2	2	2	6	5	5	5	4	3	4	4	3	4	3	4	93	3	3	3	3
