id,sex,grade,school,SNS_t,SES_t,CSES_t,EIB_t,inter_raw,center_SES
1,1,2,2,0.8185880768506419,31,25,38,1.9996475999596055,2.442800788954635
2,1,4,2,0.1316979280319295,34,22,29,0.7168055865958767,5.442800788954635
3,2,4,1,0.3726643067985962,28,17,27,-0.20764825773294562,-0.557199211045365
4,2,2,2,0.07088729282668077,28,22,30,-0.03949834363616828,-0.557199211045365
5,2,2,2,-2.014888269265291,31,22,30,-4.921970653816692,2.442800788954635
6,1,2,2,0.4007480580486187,35,28,35,2.5819399045676783,6.442800788954635
7,2,1,1,1.1057366470398051,31,15,25,2.701094353764889,2.442800788954635
8,2,2,2,0.6697981880653078,25,16,16,-2.382605586145528,-3.557199211045365
9,2,2,1,0.41899513032241154,33,18,22,1.8615118955645602,4.442800788954635
10,1,2,2,0.43333427015006043,37,28,38,3.658554917904011,8.442800788954635
11,2,2,2,-0.49748032859875096,22,14,28,3.262077618198319,-6.557199211045365
12,2,2,2,-0.9352917419786801,23,17,20,5.197602530621166,-5.557199211045365
13,2,2,2,-1.0697424909363653,27,18,26,1.6658021629078115,-1.557199211045365
14,2,2,1,-1.0698911230376842,21,16,18,8.085380350924826,-7.557199211045365
15,2,2,2,-0.33261358614769354,28,20,31,0.18533202778446436,-0.557199211045365
16,1,2,1,1.1057366470398051,37,19,24,9.33551423600372,8.442800788954635
17,2,2,1,0.9711372659808011,37,28,37,8.199118475405955,8.442800788954635
18,2,2,1,-0.5601639182094317,29,16,24,-0.248041024927056,0.44280078895463504
19,1,2,1,0.07088729282668077,26,17,30,-0.18127292928952982,-2.557199211045365
20,1,2,1,0.2564606301147038,37,13,26,2.1652460102682243,8.442800788954635
21,2,2,2,1.1057366470398051,28,20,32,-0.6161155873545267,-0.557199211045365
22,1,2,1,1.1057366470398051,27,20,29,-1.7218522343943317,-1.557199211045365
23,2,2,1,1.1057366470398051,31,23,30,2.701094353764889,2.442800788954635
24,2,2,2,-0.6038686780879093,36,24,31,-4.494474273697684,7.442800788954635
25,1,3,1,0.9530388258083272,37,25,37,8.046316950438944,8.442800788954635
26,2,2,2,0.38452257228157655,29,20,31,0.17026689837714779,0.44280078895463504
27,1,2,2,0.8204610312560737,27,16,27,-1.2776212705654246,-1.557199211045365
28,2,1,1,-2.4952632455766763,22,4,8,16.36193818524588,-6.557199211045365
29,1,2,2,0.5394040036550853,25,20,26,-1.9187674962365808,-3.557199211045365
30,2,3,1,-1.5686751952581421,26,20,31,4.011414971700555,-2.557199211045365
31,2,4,1,0.6535727022982657,26,15,25,-1.6713155986779122,-2.557199211045365
32,2,4,1,1.1057366470398051,34,18,24,6.018304294884304,5.442800788954635
33,2,2,1,0.20548667388568478,29,17,30,0.09098966131624503,0.44280078895463504
34,2,4,2,-0.4812548428317088,31,20,27,-1.175609709757537,2.442800788954635
35,2,1,2,0.25397975577003523,24,20,25,-1.1574363426166991,-4.557199211045365
36,2,4,2,0.10128193453855727,29,19,29,0.04484772052052486,0.44280078895463504
37,1,1,2,-0.6523617599722599,29,21,29,-0.28886630199955093,0.44280078895463504
38,2,3,1,1.1057366470398051,28,28,32,-0.6161155873545267,-0.557199211045365
39,2,2,1,0.9549117802137589,29,20,32,0.4228356896607275,0.44280078895463504
40,2,1,2,-0.7988194065142441,23,17,26,4.439198575648684,-5.557199211045365
41,2,4,2,0.8224960092967858,31,22,28,2.0091939004222272,2.442800788954635
42,2,1,2,-0.06356345613100438,26,16,29,0.16254441986952106,-2.557199211045365
43,2,2,1,0.5534458792800966,27,18,27,-0.8618254865712747,-1.557199211045365
44,1,4,1,-0.2284301985820618,25,16,24,0.8125717221750463,-3.557199211045365
